#z (nm), porosity
0.000,0.192743
0.020,0.178819
0.040,0.166944
0.060,0.157865
0.080,0.150052
0.100,0.142118
0.120,0.134601
0.140,0.129514
0.160,0.125347
0.180,0.122274
0.200,0.119236
0.220,0.117951
0.240,0.118368
0.260,0.120087
0.280,0.121094
0.300,0.123507
0.320,0.127413
0.340,0.131927
0.360,0.137830
0.380,0.143229
0.400,0.147552
0.420,0.151181
0.440,0.155017
0.460,0.158385
0.480,0.161736
0.500,0.165503
0.520,0.168420
0.540,0.171233
0.560,0.174132
0.580,0.178073
0.600,0.182257
0.620,0.185399
0.640,0.188333
0.660,0.189722
0.680,0.190851
0.700,0.191667
0.720,0.190972
0.740,0.189497
0.760,0.186962
0.780,0.184236
0.800,0.182135
0.820,0.179306
0.840,0.177743
0.860,0.177031
0.880,0.174653
0.900,0.171510
0.920,0.169080
0.940,0.166597
0.960,0.161528
0.980,0.155174
1.000,0.150469
1.020,0.145938
1.040,0.140764
1.060,0.135208
1.080,0.131510
1.100,0.130486
1.120,0.130087
1.140,0.127483
1.160,0.125000
1.180,0.123385
1.200,0.122726
1.220,0.121927
1.240,0.121736
1.260,0.120087
1.280,0.119601
1.300,0.118819
1.320,0.119635
1.340,0.120990
1.360,0.120278
1.380,0.118559
1.400,0.118108
1.420,0.118698
1.440,0.119635
1.460,0.119097
1.480,0.116233
1.500,0.115660
1.520,0.116736
1.540,0.117604
1.560,0.118958
1.580,0.118715
1.600,0.118958
1.620,0.120590
1.640,0.122101
1.660,0.125278
1.680,0.126736
1.700,0.127031
1.720,0.127413
1.740,0.128177
1.760,0.129358
1.780,0.130313
1.800,0.128733
1.820,0.126736
1.840,0.124965
1.860,0.123785
1.880,0.123802
1.900,0.125972
1.920,0.132101
1.940,0.131128
1.960,0.129149
1.980,0.126372
2.000,0.121736
2.020,0.120069
2.040,0.119253
2.060,0.119514
2.080,0.119896
2.100,0.121406
2.120,0.125313
2.140,0.128976
2.160,0.130608
2.180,0.132639
2.200,0.132274
2.220,0.131042
2.240,0.126563
2.260,0.118785
2.280,0.109288
2.300,0.102170
2.320,0.096892
2.340,0.092413
2.360,0.090938
2.380,0.090573
2.400,0.092031
2.420,0.092465
2.440,0.091163
2.460,0.089028
2.480,0.085052
2.500,0.082257
2.520,0.079983
2.540,0.078281
2.560,0.073142
2.580,0.070243
2.600,0.067326
2.620,0.065451
2.640,0.063681
2.660,0.062899
2.680,0.062656
2.700,0.060660
2.720,0.057240
2.740,0.054219
2.760,0.052413
2.780,0.051927
2.800,0.052344
2.820,0.052448
2.840,0.052448
2.860,0.052153
2.880,0.051892
2.900,0.051806
2.920,0.051927
2.940,0.052049
2.960,0.051875
2.980,0.052865
3.000,0.055868
3.020,0.057743
3.040,0.058958
3.060,0.059427
3.080,0.059740
3.100,0.059323
3.120,0.060156
3.140,0.060017
3.160,0.057813
3.180,0.056042
3.200,0.056788
3.220,0.057569
3.240,0.059010
3.260,0.061163
3.280,0.062882
3.300,0.062795
3.320,0.063038
3.340,0.061806
3.360,0.060486
3.380,0.059410
3.400,0.057813
3.420,0.058021
3.440,0.059774
3.460,0.062361
3.480,0.067083
3.500,0.070590
3.520,0.073385
3.540,0.073924
3.560,0.072431
3.580,0.071128
3.600,0.071406
3.620,0.073281
3.640,0.075590
3.660,0.077622
3.680,0.078993
3.700,0.080174
3.720,0.082604
3.740,0.084236
3.760,0.086389
3.780,0.088056
3.800,0.088472
3.820,0.088628
3.840,0.088872
3.860,0.090503
3.880,0.091875
3.900,0.093681
3.920,0.095903
3.940,0.097500
3.960,0.098819
3.980,0.101389
4.000,0.105556
4.020,0.107135
4.040,0.107257
4.060,0.103472
4.080,0.100990
4.100,0.099080
4.120,0.097899
4.140,0.098576
4.160,0.099722
4.180,0.101163
4.200,0.100486
4.220,0.097257
4.240,0.093698
4.260,0.089149
4.280,0.082847
4.300,0.078576
4.320,0.075903
4.340,0.075069
4.360,0.073767
4.380,0.074132
4.400,0.075608
4.420,0.076910
4.440,0.077726
4.460,0.080833
4.480,0.083229
4.500,0.085590
4.520,0.088403
4.540,0.090729
4.560,0.092552
4.580,0.094097
4.600,0.094948
4.620,0.095208
4.640,0.094097
4.660,0.089687
4.680,0.083993
4.700,0.077743
4.720,0.070712
4.740,0.064635
4.760,0.061059
4.780,0.057656
4.800,0.055052
4.820,0.052604
4.840,0.049983
4.860,0.045538
4.880,0.040122
4.900,0.036285
4.920,0.033472
4.940,0.031250
4.960,0.029306
4.980,0.027934
5.000,0.026545
5.020,0.025469
5.040,0.024184
5.060,0.022899
5.080,0.021580
5.100,0.020799
5.120,0.020156
5.140,0.020920
5.160,0.022031
5.180,0.023628
5.200,0.025347
5.220,0.027448
5.240,0.030347
5.260,0.032899
5.280,0.034653
5.300,0.035521
5.320,0.037517
5.340,0.040382
5.360,0.044601
5.380,0.051024
5.400,0.056667
5.420,0.061910
5.440,0.067465
5.460,0.072135
5.480,0.075000
5.500,0.078229
5.520,0.079670
5.540,0.080903
5.560,0.081823
5.580,0.082083
5.600,0.081233
5.620,0.081476
5.640,0.083715
5.660,0.085330
5.680,0.087760
5.700,0.090556
5.720,0.093976
5.740,0.096458
5.760,0.095955
5.780,0.096302
5.800,0.097552
5.820,0.100503
5.840,0.103351
5.860,0.104687
5.880,0.104687
5.900,0.102396
5.920,0.098906
5.940,0.095851
5.960,0.092969
5.980,0.089497
6.000,0.085503
6.020,0.082049
6.040,0.080330
6.060,0.078247
6.080,0.074253
6.100,0.070920
6.120,0.068715
6.140,0.066458
6.160,0.065139
6.180,0.064583
6.200,0.064253
6.220,0.065712
6.240,0.069375
6.260,0.075295
6.280,0.082656
6.300,0.094462
6.320,0.103125
6.340,0.111267
6.360,0.118698
6.380,0.126580
6.400,0.128889
6.420,0.130035
6.440,0.130399
6.460,0.130590
6.480,0.130417
6.500,0.129010
6.520,0.126892
6.540,0.124861
6.560,0.123160
6.580,0.122274
6.600,0.123281
6.620,0.123438
6.640,0.121771
6.660,0.118299
6.680,0.115851
6.700,0.112500
6.720,0.108854
6.740,0.105451
6.760,0.101632
6.780,0.095556
6.800,0.090990
6.820,0.087865
6.840,0.086372
6.860,0.084375
6.880,0.082083
6.900,0.079583
6.920,0.076354
6.940,0.074184
6.960,0.072604
6.980,0.071146
7.000,0.069184
7.020,0.066059
7.040,0.061910
7.060,0.058906
7.080,0.055139
7.100,0.052986
7.120,0.051580
7.140,0.050712
7.160,0.051858
7.180,0.053368
7.200,0.054410
7.220,0.055087
7.240,0.055677
7.260,0.056719
7.280,0.056962
7.300,0.057431
7.320,0.059410
7.340,0.062517
7.360,0.065885
7.380,0.069896
7.400,0.073264
7.420,0.077500
7.440,0.082483
7.460,0.088038
7.480,0.094236
7.500,0.102917
7.520,0.110799
7.540,0.120208
7.560,0.128385
7.580,0.134531
7.600,0.139306
7.620,0.142517
7.640,0.146875
7.660,0.151528
7.680,0.153385
7.700,0.154097
7.720,0.153646
7.740,0.151337
7.760,0.149757
7.780,0.147986
7.800,0.145521
7.820,0.144514
7.840,0.144236
7.860,0.144948
7.880,0.146076
7.900,0.145816
7.920,0.147014
7.940,0.148698
7.960,0.150035
7.980,0.148542
8.000,0.145486
8.020,0.140573
8.040,0.135694
8.060,0.132326
8.080,0.129497
8.100,0.125764
8.120,0.120920
8.140,0.115990
8.160,0.112378
8.180,0.109826
8.200,0.108090
8.220,0.106615
8.240,0.106215
8.260,0.106927
8.280,0.110052
8.300,0.113837
8.320,0.118403
8.340,0.124288
8.360,0.133021
8.380,0.144479
8.400,0.156215
8.420,0.170608
